               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.022737,           0.0041608,           0.0018431,             0.98664,             0.98113,              0.9804,             0.69998,            0.024373,           0.0029105,           0.0013493,            0.005248,            0.005248,            0.005248
                  98,            0.022718,           0.0049881,           0.0019731,             0.99744,             0.98113,             0.99043,             0.76851,            0.021668,           0.0029279,           0.0013065,           0.0051985,           0.0051985,           0.0051985
                  99,            0.022717,           0.0048498,            0.001678,             0.99751,             0.98113,             0.99038,             0.78873,            0.017082,           0.0028675,           0.0013641,            0.005149,            0.005149,            0.005149
                 100,            0.020655,           0.0045535,           0.0017268,              0.9981,             0.98113,             0.98177,             0.69316,            0.024608,           0.0029874,           0.0013448,           0.0050995,           0.0050995,           0.0050995
                 101,             0.02383,           0.0045531,           0.0029586,              0.9978,             0.98113,             0.98207,             0.76094,            0.017987,           0.0028404,           0.0012976,             0.00505,             0.00505,             0.00505
                 102,            0.022178,           0.0055524,           0.0015779,             0.99799,             0.98113,             0.98201,             0.77497,            0.018041,           0.0028385,           0.0012529,           0.0050005,           0.0050005,           0.0050005
                 103,            0.020064,           0.0051365,           0.0017761,             0.99766,             0.98113,              0.9818,             0.76611,            0.020398,           0.0028655,           0.0011734,            0.004951,            0.004951,            0.004951
                 104,             0.02273,           0.0045907,           0.0016248,             0.99707,             0.98113,             0.98226,             0.79252,            0.019231,           0.0027985,           0.0011415,           0.0049015,           0.0049015,           0.0049015
                 105,            0.022647,           0.0045731,           0.0014618,             0.99722,             0.98113,             0.98231,             0.74363,            0.018557,           0.0028586,           0.0011352,            0.004852,            0.004852,            0.004852
                 106,            0.019428,           0.0044872,           0.0016105,             0.99741,             0.98113,             0.98226,             0.76068,            0.020429,           0.0028707,           0.0010884,           0.0048025,           0.0048025,           0.0048025
                 107,             0.02307,           0.0045106,           0.0018626,             0.99745,             0.98113,             0.98256,             0.81009,            0.017527,           0.0028001,           0.0011264,            0.004753,            0.004753,            0.004753
                 108,            0.021159,              0.0054,           0.0025553,             0.99739,             0.98113,             0.98286,             0.80917,             0.01836,           0.0027749,            0.001132,           0.0047035,           0.0047035,           0.0047035
                 109,            0.019556,           0.0048632,           0.0018119,             0.99703,             0.98113,             0.98211,             0.76593,             0.01988,           0.0028454,           0.0010871,            0.004654,            0.004654,            0.004654
                 110,            0.023575,           0.0045108,           0.0013955,             0.99745,             0.98113,             0.98067,             0.79715,            0.016506,           0.0026918,           0.0011142,           0.0046045,           0.0046045,           0.0046045
                 111,            0.019899,           0.0042324,           0.0013922,             0.99782,             0.98113,             0.99066,               0.786,            0.017661,           0.0027072,           0.0011381,            0.004555,            0.004555,            0.004555
                 112,            0.019178,           0.0050885,           0.0017604,             0.99746,             0.98113,             0.99006,             0.79209,            0.019773,           0.0028209,           0.0011705,           0.0045055,           0.0045055,           0.0045055
                 113,            0.021847,           0.0043286,           0.0015749,             0.99805,             0.98113,             0.98146,             0.75777,            0.018413,           0.0027713,           0.0011744,            0.004456,            0.004456,            0.004456
                 114,            0.021497,           0.0048363,           0.0018086,             0.99796,             0.98113,             0.98572,             0.81178,            0.015178,           0.0026434,           0.0011327,           0.0044065,           0.0044065,           0.0044065
                 115,            0.018975,           0.0046588,           0.0014019,             0.99806,             0.98113,             0.98791,             0.80482,            0.016756,           0.0027151,           0.0011475,            0.004357,            0.004357,            0.004357
                 116,            0.017805,           0.0046744,           0.0014837,             0.99855,             0.98113,             0.99048,             0.77461,            0.020461,           0.0027547,           0.0010857,           0.0043075,           0.0043075,           0.0043075
                 117,            0.021344,           0.0046118,           0.0013805,             0.99825,             0.98113,             0.98971,             0.80877,            0.016003,           0.0026684,           0.0011033,            0.004258,            0.004258,            0.004258
                 118,             0.01794,           0.0046446,            0.001883,              0.9986,             0.98113,             0.98154,             0.79712,            0.019585,           0.0027229,           0.0010708,           0.0042085,           0.0042085,           0.0042085
                 119,            0.020267,           0.0045765,           0.0013265,             0.99773,             0.98113,             0.98085,             0.81523,             0.01761,           0.0026124,           0.0010749,            0.004159,            0.004159,            0.004159
                 120,            0.019394,           0.0046535,           0.0017354,             0.99785,             0.98113,             0.98083,             0.82432,            0.016926,           0.0026356,           0.0010764,           0.0041095,           0.0041095,           0.0041095
                 121,            0.018736,           0.0048251,           0.0020067,             0.99807,             0.98113,             0.98989,             0.80407,            0.018602,           0.0027233,           0.0010502,             0.00406,             0.00406,             0.00406
                 122,            0.018957,           0.0044734,            0.001203,             0.99812,             0.98113,             0.98078,             0.76696,            0.015843,           0.0026344,           0.0009847,           0.0040105,           0.0040105,           0.0040105
                 123,             0.01956,           0.0042022,           0.0011882,             0.99762,             0.98113,             0.98083,              0.8262,             0.01672,           0.0026262,          0.00094455,            0.003961,            0.003961,            0.003961
                 124,            0.018692,           0.0050044,           0.0011939,             0.99743,             0.98113,             0.98974,             0.81871,            0.018126,           0.0026345,          0.00090675,           0.0039115,           0.0039115,           0.0039115
                 125,            0.019179,           0.0050218,           0.0011274,             0.99676,             0.98113,             0.98991,             0.79461,            0.018739,            0.002682,          0.00089248,            0.003862,            0.003862,            0.003862
                 126,            0.020305,            0.004843,           0.0010702,             0.99697,             0.98113,             0.99014,             0.82287,            0.014519,           0.0025485,          0.00086953,           0.0038125,           0.0038125,           0.0038125
                 127,             0.01684,           0.0041802,           0.0010441,             0.99705,             0.98113,             0.98193,             0.82626,            0.019009,            0.002667,           0.0008482,            0.003763,            0.003763,            0.003763
                 128,            0.018858,           0.0042169,           0.0012466,             0.99728,             0.98113,             0.99056,             0.82284,            0.017467,           0.0026401,          0.00087827,           0.0037135,           0.0037135,           0.0037135
                 129,              0.0194,           0.0041438,           0.0010938,             0.99737,             0.98113,             0.98204,              0.8428,            0.014804,           0.0025705,          0.00087948,            0.003664,            0.003664,            0.003664
                 130,            0.018267,           0.0048006,           0.0011337,             0.99746,             0.98113,             0.98198,             0.78324,            0.018602,           0.0026886,          0.00085344,           0.0036145,           0.0036145,           0.0036145
                 131,            0.018049,           0.0040839,            0.001174,             0.99788,             0.98113,             0.98212,             0.74598,            0.017154,           0.0027494,          0.00083421,            0.003565,            0.003565,            0.003565
                 132,            0.019479,           0.0047003,           0.0017119,             0.99803,             0.98113,             0.98439,             0.82207,            0.016028,           0.0026897,          0.00082633,           0.0035155,           0.0035155,           0.0035155
                 133,            0.017917,           0.0047577,           0.0011159,             0.99824,             0.98113,             0.99035,             0.80251,            0.016543,           0.0027151,          0.00080843,            0.003466,            0.003466,            0.003466
                 134,            0.017831,           0.0042541,          0.00099565,              0.9984,             0.98113,             0.98191,             0.81984,            0.014878,           0.0026632,          0.00082769,           0.0034165,           0.0034165,           0.0034165
                 135,            0.017658,           0.0046104,           0.0010822,             0.99843,             0.98113,             0.98183,             0.84215,            0.014266,           0.0026625,          0.00084372,            0.003367,            0.003367,            0.003367
                 136,             0.01765,           0.0045123,           0.0015154,              0.9986,             0.98113,             0.98165,             0.81474,            0.015437,           0.0027373,          0.00084273,           0.0033175,           0.0033175,           0.0033175
